ID;pris;km;year;hk;kml;kmt;Groen ejerudgift;model navn;region;Koeb eller leasing;annonce;links;type
4397066;324900.0;10000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4397066;TSi
4689793;309900.0;38000.0;2018.0;150.0;18.5;8.9;1780.0;VW Touran 1,4 TSi 150 Highline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-highline-dsg-7prs-5d/4689793;TSi
4397056;324900.0;10000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4397056;TSi
4621964;334900.0;9000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Nordsjaelland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4621964;TSi
4543635;354900.0;10000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4543635;TSi
4579618;309900.0;39000.0;2018.0;150.0;18.5;8.9;1780.0;VW Touran 1,4 TSi 150 Highline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-highline-dsg-7prs-5d/4579618;TSi
4621048;359900.0;4000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Oestjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4621048;TSi
4579451;429900.0;9000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4579451;TSi
4654263;319900.0;14000.0;2020.0;150.0;20.0;8.9;1160.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Oestjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4654263;TSi
4654275;319900.0;15000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Oestjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4654275;TSi
4604355;319900.0;18000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Oestjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4604355;TSi
4689028;324880.0;8000.0;2020.0;150.0;20.0;8.9;1160.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4689028;TSi
4691486;324980.0;8000.0;2020.0;150.0;20.0;8.9;1160.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4691486;TSi
4654013;269900.0;67000.0;2018.0;115.0;23.3;11.9;3520.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4654013;TDi
4637025;214900.0;110000.0;2016.0;110.0;23.3;11.9;3020.0;VW Touran 1,6 TDi 110 Comfortline DSG 7prs 5d;Oestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-110-comfortline-dsg-7prs-5d/4637025;TDi
4645639;249900.0;100000.0;2017.0;115.0;23.3;11.9;3020.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Vestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4645639;TDi
4536055;229900.0;71000.0;2016.0;110.0;18.5;11.3;1280.0;VW Touran 1,2 TSi 110 Comfortline 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/12-tsi-110-comfortline-7prs-5d/4536055;TSi
4686968;209900.0;34000.0;2017.0;110.0;18.2;11.3;1280.0;VW Touran 1,2 TSi 110 Trendline 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/12-tsi-110-trendline-7prs-5d/4686968;TSi
4637464;254700.0;74000.0;2017.0;150.0;18.5;8.9;1280.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Vestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4637464;TSi
4676521;349900.0;52000.0;2017.0;180.0;16.4;8.3;2520.0;VW Touran 1,8 TSi 180 R-line DSG 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/18-tsi-180-r-line-dsg-7prs-5d/4676521;TSi
4519609;329000.0;37000.0;2018.0;150.0;18.5;8.9;1780.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Nordjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4519609;TSi
